improve their understanding of mathematics < s > work better at group activities,['send tasks to other groups'],"{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
is good at singing and dancing,"['danced only in his "" gangnam style ""']","{'Bleu_1': 1.194218850558243e-16, 'Bleu_2': 1.3082012060754779e-16, 'Bleu_3': 1.4526960551468526e-16, 'Bleu_4': 1.6449759291817379e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
are less active than men in their country < s > are less active than men in their country < s > are less active than men in their country,['have little time to exercise [ sep ] hate to get regular exercise [ sep ] take more exercise to lose weight'],"{'Bleu_1': 3.3333333332222224e-17, 'Bleu_2': 3.390317517989093e-17, 'Bleu_3': 3.4496436827447336e-17, 'Bleu_4': 3.5114762706939334e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
a study by dr hallal < s > older men are more active than older women,['benefits of taking exercise'],"{'Bleu_1': 6.249999999609375e-17, 'Bleu_2': 6.454972243262145e-17, 'Bleu_3': 6.676572574796897e-17, 'Bleu_4': 6.917184227725562e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
watched the fish performance carefully,"[""couldn ' t help shouting and dancing""]","{'Bleu_1': 1.340640091535023e-16, 'Bleu_2': 1.4988811889794536e-16, 'Bleu_3': 1.7122419125424406e-16, 'Bleu_4': 2.0252884943922996e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the ways of communicating feelings,['how to avoid making people lose face [ sep ] how to be acquainted with chinese culture'],"{'Bleu_1': 1.8143590650625075e-17, 'Bleu_2': 2.0285151024856522e-17, 'Bleu_3': 2.3172674420353066e-17, 'Bleu_4': 2.740929920244348e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
it is run by computer criminals,['computers are honest'],"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
kids like to play in the quiet streets,"[""parents are concerned about children ' s safety [ sep ] children lead a life of relaxed , ordinary rhythms""]","{'Bleu_1': 2.789127001158093e-17, 'Bleu_2': 2.9817021846973285e-17, 'Bleu_3': 3.209557677247172e-17, 'Bleu_4': 3.485226091106946e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
a great many english experts,['right kinds of activities for cultural communication'],"{'Bleu_1': 1.340640091535023e-16, 'Bleu_2': 1.4988811889794536e-16, 'Bleu_3': 1.7122419125424406e-16, 'Bleu_4': 2.0252884943922996e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
it ' s not worthwhile to say no to others when you are shooting < s > the young usually do nothing for the country,['shoot up [ sep ] shoot down [ sep ] shoot through'],"{'Bleu_1': 3.99999999984e-17, 'Bleu_2': 4.0824829044719294e-17, 'Bleu_3': 4.169080726515258e-17, 'Bleu_4': 4.2601467362601026e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
"if someone is not armed , don ' t shoot . < s > when we have to shoot",['shooting the breeze [ sep ] shooting your mouth off [ sep ] shooting questions at somebody'],"{'Bleu_1': 5.2631578944598344e-17, 'Bleu_2': 5.4073807040662474e-17, 'Bleu_3': 5.561282936163367e-17, 'Bleu_4': 5.725998731205232e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
show the difficulty of cloning < s > introduce the new idea of cloning < s > explain the advantages of cloning,['give some advice on foods'],"{'Bleu_1': 4.545454545247934e-17, 'Bleu_2': 4.652421051775846e-17, 'Bleu_3': 4.7655095357732085e-17, 'Bleu_4': 4.885326643972907e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
they are performed at a debutante ball,['girls from the upper class should learn either of them'],"{'Bleu_1': 9.306272247784718e-17, 'Bleu_2': 1.0051922884327337e-16, 'Bleu_3': 1.095975119633798e-16, 'Bleu_4': 1.2100518272513984e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the development of tourism is developing fast < s > people in different nations are enjoying a better understanding,"['when traveling , you notice characteristics which confirm your previous knowledge']","{'Bleu_1': 5.2631578944598344e-17, 'Bleu_2': 5.4073807040662474e-17, 'Bleu_3': 5.561282936163367e-17, 'Bleu_4': 5.725998731205232e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
reduce the meat consumption,['free people from diseases [ sep ] rid people from strange behaviors'],"{'Bleu_1': 3.383382079223629e-17, 'Bleu_2': 3.906793108259453e-17, 'Bleu_3': 4.6918122196098885e-17, 'Bleu_4': 6.114461649872229e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
watch joe wallace and joe dape,['go to blue tent at 1 1 : 1 5 a . m . [ sep ] attend the art of the review'],"{'Bleu_1': 9.802745270470741e-18, 'Bleu_2': 1.0738369420048838e-17, 'Bleu_3': 1.1924455368767265e-17, 'Bleu_4': 1.3502784688322965e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
space is too crowded,['the students had pinpointed exactly the reason [ sep ] the students had succeeded in the experiment'],"{'Bleu_1': 9.693551953083734e-18, 'Bleu_2': 1.1193149658566652e-17, 'Bleu_3': 1.3442267068854888e-17, 'Bleu_4': 1.7518225929060656e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
are the largest animals on the earth,['frequently attack people and pets'],"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
a terrible teacher < s > the life lessons,['learning spanish [ sep ] my first day of high school'],"{'Bleu_1': 8.897082252654075e-17, 'Bleu_2': 9.436780790373737e-17, 'Bleu_3': 1.0061898596703183e-16, 'Bleu_4': 1.0798033445748906e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
going on field trips to museums < s > learning from interactive learning,"[""attending marine biologists ' meetings [ sep ] taking part - time jobs at marine associations""]","{'Bleu_1': 6.107097366890842e-17, 'Bleu_2': 6.356468472022534e-17, 'Bleu_3': 6.631408300848696e-17, 'Bleu_4': 6.936635521493266e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the intelligent essay assessor,['william and flora hewlett foundation'],"{'Bleu_1': 1.9470019567050115e-16, 'Bleu_2': 2.248204207539058e-16, 'Bleu_3': 2.699951515428343e-16, 'Bleu_4': 3.518629737268912e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
smoking habits,['sports activities'],"{'Bleu_1': 4.999999995000003e-16, 'Bleu_2': 7.071067803026644e-16, 'Bleu_3': 7.937005251904008e-13, 'Bleu_4': 2.659147946145741e-11, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
help local people find jobs < s > cause many problems,['waste a lot of money'],"{'Bleu_1': 9.090909090082646e-17, 'Bleu_2': 9.534625891545801e-17, 'Bleu_3': 1.0033557297469767e-16, 'Bleu_4': 1.0600313378380957e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
keeping the sleeping astronauts healthy,['finding a right time to go to sleep .'],"{'Bleu_1': 8.986579278749804e-17, 'Bleu_2': 1.0047301075986612e-16, 'Bleu_3': 1.1477500776396e-16, 'Bleu_4': 1.357591476796497e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
a poor doctor,['at home when his wife answered the telephone'],"{'Bleu_1': 6.295853423721496e-17, 'Bleu_2': 7.710814191093513e-17, 'Bleu_3': 1.0394224984529004e-16, 'Bleu_4': 2.1460411762736674e-14, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
growing crops with good soil < s > improving farming methods,['providing fertilizers'],"{'Bleu_1': 9.090909090082646e-17, 'Bleu_2': 9.534625891545801e-17, 'Bleu_3': 1.0033557297469767e-16, 'Bleu_4': 1.0600313378380957e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
he had seen the road before,"[""his hands didn ' t have sweat""]","{'Bleu_1': 1.4108028743474226e-16, 'Bleu_2': 1.5454571169206621e-16, 'Bleu_3': 1.7161576114765806e-16, 'Bleu_4': 1.943309442852187e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
joining a club < s > how to make friends,['meeting new people'],"{'Bleu_1': 9.999999999e-17, 'Bleu_2': 1.0540925532781945e-16, 'Bleu_3': 1.1157215833452827e-16, 'Bleu_4': 1.186840521809983e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
had traveled very far to alaska,['brought with them many shoes'],"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
"teacher - student relationship < s > one - on - one , teacher - student relationship","[""teachers ' good instruction [ sep ] teachers ' encouragement""]","{'Bleu_1': 5.88235294083045e-17, 'Bleu_2': 6.063390625540509e-17, 'Bleu_3': 6.258159277801817e-17, 'Bleu_4': 6.46849058377292e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
is better than those in other fields,"[""influences people ' s attitude""]","{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
many people love it < s > playing basketball is one of the fastest sports,['players can change positions'],"{'Bleu_1': 6.666666666222223e-17, 'Bleu_2': 6.900655592947069e-17, 'Bleu_3': 7.155046341999933e-17, 'Bleu_4': 7.432998183959223e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
have a positive attitude in the office of the one - eyed man < s > not believe in positive thinking < s > positive workers shine like gold,['control your feeling to what is happening to you'],"{'Bleu_1': 3.44827586195006e-17, 'Bleu_2': 3.509312031594811e-17, 'Bleu_3': 3.572948328323194e-17, 'Bleu_4': 3.6393742222494427e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
he had a good chance of meeting the new customers,['his busy trip would soon come to an end'],"{'Bleu_1': 9.999999999e-17, 'Bleu_2': 1.0540925532781945e-16, 'Bleu_3': 1.1157215833452827e-16, 'Bleu_4': 1.186840521809983e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
google ' native plants ' location < s > finding other plant - eating insects,['asking dr . doug tallamy'],"{'Bleu_1': 6.666666666222223e-17, 'Bleu_2': 6.900655592947069e-17, 'Bleu_3': 7.155046341999933e-17, 'Bleu_4': 7.432998183959223e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
look at different ideas,['understand the meaning of being creative'],"{'Bleu_1': 1.516326648523421e-16, 'Bleu_2': 1.750903197335846e-16, 'Bleu_3': 2.1027243544704205e-16, 'Bleu_4': 2.740311594723361e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
look at things from different angle < s > learn to be a creative person,['come up with good ideas'],"{'Bleu_1': 6.666666666222223e-17, 'Bleu_2': 6.900655592947069e-17, 'Bleu_3': 7.155046341999933e-17, 'Bleu_4': 7.432998183959223e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
her writing was not popular,"[""they didn ' t like vampire novels [ sep ] gibbs spent too much time online""]","{'Bleu_1': 2.216063166360253e-17, 'Bleu_2': 2.4776339411455344e-17, 'Bleu_3': 2.8303168450966843e-17, 'Bleu_4': 3.34777936451018e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
agatha christie,['a doctor in qatar'],"{'Bleu_1': 1.8393972040178161e-16, 'Bleu_2': 2.6013004718628214e-16, 'Bleu_3': 2.9198610566452503e-13, 'Bleu_4': 9.782458604202842e-12, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
they don ' t want to do the job,['their mother watches tv all day'],"{'Bleu_1': 1.1111111109876545e-16, 'Bleu_2': 1.1785113018384495e-16, 'Bleu_3': 1.2565790683898578e-16, 'Bleu_4': 1.34851118576642e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
he has a lot of money to buy them,['the tomatoes look very beautiful [ sep ] the tomatoes are contained in beautiful crates'],"{'Bleu_1': 5.704634654649994e-17, 'Bleu_2': 6.050678772700165e-17, 'Bleu_3': 6.45149205057696e-17, 'Bleu_4': 6.923487279024923e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
didn ' t like to live in country clubs,['had the good things on the first three levels'],"{'Bleu_1': 1.111111110864198e-16, 'Bleu_2': 1.178511301707504e-16, 'Bleu_3': 1.256579068250238e-16, 'Bleu_4': 1.3485111856165858e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
did not like to live in the stock market,['was a good paper boy'],"{'Bleu_1': 1.1111111109876545e-16, 'Bleu_2': 1.1785113018384495e-16, 'Bleu_3': 1.2565790683898578e-16, 'Bleu_4': 1.34851118576642e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
clinton is not a famous person < s > clinton is not a good person,"[""hillary couldn ' t find her own clock [ sep ] mother theresa told the fewest lies""]","{'Bleu_1': 5.834488792841719e-17, 'Bleu_2': 6.039269658449147e-17, 'Bleu_3': 6.261905654616722e-17, 'Bleu_4': 6.505161690662117e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
have shorter trunks,['search for food in large groups [ sep ] protect food sources for their young'],"{'Bleu_1': 6.105212958841263e-18, 'Bleu_2': 7.477328259471195e-18, 'Bleu_3': 1.007948451175144e-17, 'Bleu_4': 2.0810583598130035e-15, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
find a job soon,['take part - time jobs first'],"{'Bleu_1': 1.516326648523421e-16, 'Bleu_2': 1.750903197335846e-16, 'Bleu_3': 2.1027243544704205e-16, 'Bleu_4': 2.740311594723361e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
his old church music,['the president of the record company'],"{'Bleu_1': 1.516326648523421e-16, 'Bleu_2': 1.750903197335846e-16, 'Bleu_3': 2.1027243544704205e-16, 'Bleu_4': 2.740311594723361e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
students are against environment < s > the effect of environment < s > efforts for environmental protection,['measures to reduce waste [ sep ] pollution makes our world worse'],"{'Bleu_1': 5.555555555246914e-17, 'Bleu_2': 5.716619504423364e-17, 'Bleu_3': 5.889153354909399e-17, 'Bleu_4': 6.074588070506824e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
know the truth,['accept honest people as ends'],"{'Bleu_1': 1.711390395634381e-16, 'Bleu_2': 2.0960166098273626e-16, 'Bleu_3': 2.825443289636019e-16, 'Bleu_4': 5.833544732589585e-14, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the best way to success,['making plans is better than taking chances'],"{'Bleu_1': 1.340640091535023e-16, 'Bleu_2': 1.4988811889794536e-16, 'Bleu_3': 1.7122419125424406e-16, 'Bleu_4': 2.0252884943922996e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
read very little at school,['showed strong interest in poetry'],"{'Bleu_1': 1.9999999992000006e-16, 'Bleu_2': 2.236067976549461e-16, 'Bleu_3': 2.554364773467337e-16, 'Bleu_4': 3.021375395783136e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
a loving silence < s > communication,['listening and talking'],"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the best way to fight against evil < s > the greatest race will finally be found,['nothing matters except fighting'],"{'Bleu_1': 5.88235294083045e-17, 'Bleu_2': 6.063390625540509e-17, 'Bleu_3': 6.258159277801817e-17, 'Bleu_4': 6.46849058377292e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
"would make one feel better . < s > would be better than "" how do you feel ? """,['are proper to ask a man in action'],"{'Bleu_1': 4.9999999997500006e-17, 'Bleu_2': 5.1298917601625265e-17, 'Bleu_3': 5.2680266834470454e-17, 'Bleu_4': 5.415315253217102e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
in severe weather from insects,['facing an infrared scanner'],"{'Bleu_1': 1.9999999996000001e-16, 'Bleu_2': 2.2360679769966743e-16, 'Bleu_3': 2.5543647739782093e-16, 'Bleu_4': 3.02137539638741e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
all kinds of clothes they like < s > any kind of clothes they like,['long skirts and short boots'],"{'Bleu_1': 6.666666666222223e-17, 'Bleu_2': 6.900655592947069e-17, 'Bleu_3': 7.155046341999933e-17, 'Bleu_4': 7.432998183959223e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
are useless for finding a job,"[""don ' t meet the expectation of parents [ sep ] don ' t fit in classroom teaching""]","{'Bleu_1': 2.2555880531916828e-17, 'Bleu_2': 2.4708729143033133e-17, 'Bleu_3': 2.7437884315560977e-17, 'Bleu_4': 3.106958202774792e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
is good at everything except flowers,['works hard in the flower business'],"{'Bleu_1': 1.666666666111111e-16, 'Bleu_2': 1.8257418577115442e-16, 'Bleu_3': 2.0274006644364938e-16, 'Bleu_4': 2.295748845733568e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
had been in prison for five years < s > worked in a drug store as a reporter,['took up only one job after he moved to houston'],"{'Bleu_1': 5.555555555246914e-17, 'Bleu_2': 5.716619504423364e-17, 'Bleu_3': 5.889153354909399e-17, 'Bleu_4': 6.074588070506824e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
attract the attention of the present and future generations < s > help to understand the relationship between man and the future < s > be a way of escaping from the present and the future,['make life worth living'],"{'Bleu_1': 2.7777777777006175e-17, 'Bleu_2': 2.817180849015683e-17, 'Bleu_3': 2.857920734272793e-17, 'Bleu_4': 2.900074465588897e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
people who need to read,['test designers [ sep ] test - takers'],"{'Bleu_1': 1.0976232717490041e-16, 'Bleu_2': 1.227180124627569e-16, 'Bleu_3': 1.4018651105075565e-16, 'Bleu_4': 1.6581659742139797e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
how to save time,['every day is an important occasion'],"{'Bleu_1': 1.516326648523421e-16, 'Bleu_2': 1.750903197335846e-16, 'Bleu_3': 2.1027243544704205e-16, 'Bleu_4': 2.740311594723361e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
learn the online resources,['look for a new job [ sep ] turn to a training provider'],"{'Bleu_1': 2.6349806127291204e-17, 'Bleu_2': 3.0426135320104294e-17, 'Bleu_3': 3.6539870306561674e-17, 'Bleu_4': 4.7619475209805656e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the entrepreneurial training program < s > the training department,['an apprentice programs'],"{'Bleu_1': 9.999999999e-17, 'Bleu_2': 1.0540925532781945e-16, 'Bleu_3': 1.1157215833452827e-16, 'Bleu_4': 1.186840521809983e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
children in the philadelphia zoo . < s > children in the philadelphia zoo .,['museum lovers'],"{'Bleu_1': 6.666666666222223e-17, 'Bleu_2': 6.900655592947069e-17, 'Bleu_3': 7.155046341999933e-17, 'Bleu_4': 7.432998183959223e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
became patient after he was locked up,['always wants to know what patience is'],"{'Bleu_1': 1.4285714281632656e-16, 'Bleu_2': 1.5430334991616832e-16, 'Bleu_3': 1.6823908652138966e-16, 'Bleu_4': 1.8575057992952973e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the wireless industry < s > the consumers who receive the messages,['mobile phone users'],"{'Bleu_1': 8.33333333263889e-17, 'Bleu_2': 8.7038827970266e-17, 'Bleu_3': 9.11609179238116e-17, 'Bleu_4': 9.578464407697051e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
houdini and his family < s > magic tricks,['world - wild fame'],"{'Bleu_1': 1.1111111109876545e-16, 'Bleu_2': 1.1785113018384495e-16, 'Bleu_3': 1.2565790683898578e-16, 'Bleu_4': 1.34851118576642e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
not easy to learn and speak < s > a standard english greeting,['considered impolite by native speakers'],"{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
not so serious as those in other sports,['more dangerous than football injuries'],"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
are famous for their success,['marry wealthy men'],"{'Bleu_1': 1.9999999996000001e-16, 'Bleu_2': 2.2360679769966743e-16, 'Bleu_3': 2.5543647739782093e-16, 'Bleu_4': 3.02137539638741e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
all workers must work at work < s > all workers must work at home < s > workers have no rest,['rush hours are over'],"{'Bleu_1': 4.545454545247934e-17, 'Bleu_2': 4.652421051775846e-17, 'Bleu_3': 4.7655095357732085e-17, 'Bleu_4': 4.885326643972907e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
